Function name;Epoch;Mean loss;Std loss;Accuracy;Training time
NPairsLossSeed (10);10;0.67147079;0.53382749;99.07 %;237.42 s
NPairsLossSeed (20);20;0.65956222;0.52601843;99.04 %;477.89 s
NPairsLossSeed (50);50;0.66672579;0.52291616;99.06 %;1325.58 s
ProxyAnchorLossSeed (1);1;2.32162772;1.23188110;98.76 %;37.02 s
ProxyAnchorLossSeed (5);5;1.60338272;1.01587445;99.07 %;131.85 s
ProxyAnchorLossSeed (10);10;1.46078778;1.01288255;99.11 %;269.89 s
ProxyAnchorLossSeed (20);20;1.41463731;0.99947661;99.23 %;551.80 s
ProxyAnchorLossSeed (50);50;1.39188177;1.02675095;99.17 %;1417.67 s
NormalizedSoftmaxLossSeed (1);1;0.07364780;0.04783513;99.15 %;24.44 s
NormalizedSoftmaxLossSeed (5);5;0.02073262;0.02788634;99.29 %;119.88 s
NormalizedSoftmaxLossSeed (10);10;0.01997095;0.03174878;99.24 %;248.03 s
NormalizedSoftmaxLossSeed (20);20;0.02557395;0.04670528;99.17 %;505.89 s
NormalizedSoftmaxLossSeed (50);50;0.03160577;0.06456131;99.21 %;1329.28 s
NCALossSeed (1);1;0.33462799;0.44517243;99.26 %;25.28 s
NCALossSeed (5);5;0.33446138;0.44640052;99.09 %;125.81 s
NCALossSeed (10);10;0.29620023;0.40831234;99.09 %;260.30 s
NCALossSeed (20);20;0.29926715;0.41368104;99.02 %;529.76 s
NCALossSeed (50);50;0.28068003;0.39355216;98.82 %;1393.21 s
MarginLossSeed (1);1;0.32997363;0.18123657;98.86 %;25.66 s
MarginLossSeed (5);5;0.25349122;0.14010718;99.16 %;127.04 s
MarginLossSeed (10);10;0.20983094;0.12282832;99.25 %;262.88 s
MarginLossSeed (20);20;0.19423917;0.11453508;99.43 %;532.75 s
MarginLossSeed (50);50;0.17769342;0.10035761;99.29 %;1398.74 s
LargeMarginSoftmaxLossSeed (1);1;2.52103448;1.53089406;98.73 %;27.32 s
LargeMarginSoftmaxLossSeed (5);5;0.95759892;0.42964818;99.08 %;135.84 s
LargeMarginSoftmaxLossSeed (10);10;0.69688137;0.33692914;99.19 %;279.87 s
LargeMarginSoftmaxLossSeed (20);20;0.63556153;0.30860586;99.13 %;569.33 s
LargeMarginSoftmaxLossSeed (50);50;0.58326980;0.31266205;99.03 %;1492.05 s
AngularLossSeed (1);1;1.90768131;1.14687223;99.08 %;24.14 s
AngularLossSeed (5);5;1.89596747;1.15523575;99.09 %;120.78 s
AngularLossSeed (10);10;1.94785742;1.14077177;99.01 %;250.80 s
AngularLossSeed (20);20;1.90990414;1.13658707;99.06 %;509.66 s
AngularLossSeed (50);50;1.90324333;1.14672664;99.04 %;1346.95 s
CircleLossSeed (1);1;12.95968897;11.43787208;99.07 %;26.32 s
CircleLossSeed (5);5;13.17766187;11.65719830;99.14 %;127.33 s
CircleLossSeed (10);10;13.01547735;11.30515551;99.14 %;263.81 s
CircleLossSeed (20);20;12.80987079;11.07689941;99.08 %;537.48 s
CircleLossSeed (50);50;12.58937429;10.21213838;99.07 %;1409.03 s
FastAPLossSeed (1);1;0.00969238;0.00958811;99.16 %;28.44 s
FastAPLossSeed (5);5;0.00956464;0.00962227;99.14 %;142.92 s
FastAPLossSeed (10);10;0.00972437;0.00980482;99.11 %;295.32 s
FastAPLossSeed (20);20;0.00954696;0.00939216;99.04 %;600.45 s
FastAPLossSeed (50);50;0.00949635;0.00955926;99.09 %;1553.25 s
LiftedStructureLossSeed (1);1;5.55920706;4.02648178;99.08 %;24.48 s
LiftedStructureLossSeed (5);5;5.95013350;4.17626073;99.12 %;119.35 s
LiftedStructureLossSeed (10);10;5.84614384;4.07156259;99.17 %;247.87 s
LiftedStructureLossSeed (20);20;5.82220384;4.14765227;99.07 %;507.14 s
LiftedStructureLossSeed (50);50;5.59800065;4.17903284;99.16 %;1342.73 s
